119045,1.0
112223,0.05
103924,0.99
105922,0.0
103297,0.46
115525,0.01
116409,0.03
109427,0.03
118590,0.0
107075,0.01
101173,0.04
127419,1.0
109575,0.9
115834,0.0
119963,0.06
107449,0.0
115767,1.0
114678,0.01
104384,0.01
113998,0.0
115060,0.99
106141,0.98
102113,0.09
103723,0.07
100400,0.6
106597,0.0
105299,0.04
103740,0.0
127312,1.0
100564,0.04
107811,0.0
100646,0.0
109852,0.0
118666,0.01
112180,0.01
100787,0.11
107726,0.02
113851,1.0
115282,0.0
105654,0.0
100405,1.0
123181,0.69
106100,0.01
116407,0.04
110213,0.0
116010,0.08
138635,1.0
109241,0.0
111864,0.0
116431,0.1
110559,0.01
105027,0.0
101272,0.07
113568,0.01
112855,0.12
109599,0.0
102397,0.0
119115,0.01
134126,0.01
121900,0.97
102998,0.02
103805,1.0
100365,0.59
108576,0.0
114361,0.98
113694,0.69
102301,0.0
121406,0.97
145105,0.0
106890,0.98
117431,0.07
101534,0.02
110456,0.0
104576,0.11
117933,0.71
117781,0.38
119721,0.04
100230,0.0
117030,0.14
112360,0.03
124246,0.74
117804,0.59
109658,0.08
107490,0.96
110555,0.0
133022,0.01
109383,0.0
144357,0.06
104120,0.12
136286,0.02
112200,0.92
123320,0.87
114160,0.13
119725,0.96
106053,0.87
116666,0.0
106422,0.0
107889,0.0
117622,0.0
108058,0.09
