,avg_monthly_hrs,last_evaluation,n_projects,salary,satisfaction,status,tenure,age,gender,marital_status,dept_name
2,0.4099616858237547,0.474082,0.16666666666666666,2,0.380275841780375,1,0.125,0.05714285714285716,0,1,8
3,0.793103448275862,0.96136,0.8333333333333334,1,0.11762757234398429,1,0.25,0.8285714285714285,0,0,9
4,0.371647509578544,0.507349,0.16666666666666666,2,0.4112610600478196,1,0.125,0.02857142857142858,0,1,8
5,0.32950191570881215,0.482184,0.16666666666666666,1,0.35573684899164704,1,0.125,0.02857142857142858,0,1,5
6,0.8467432950191569,0.867087,0.8333333333333334,1,0.13804652283013885,1,0.25,0.05714285714285716,0,1,7
7,0.7471264367816092,0.926197,0.8333333333333334,2,0.022720132141371932,1,0.375,0.19999999999999996,0,0,3
8,0.9195402298850575,0.929858,0.9999999999999999,1,0.1267635447823076,1,0.25,0.3999999999999999,0,0,3
9,0.8888888888888888,0.907965,0.8333333333333334,2,0.06843187127216906,1,0.25,0.8,0,0,8
10,0.842911877394636,0.867086,0.8333333333333334,1,0.08445784618564299,1,0.25,0.19999999999999996,1,1,9
11,0.8352490421455938,0.953585,0.6666666666666666,1,0.8659397613354813,1,0.5,0.02857142857142858,0,1,9
12,0.7969348659003831,0.886631,0.6666666666666666,1,0.23465969179791774,1,0.375,0.3999999999999999,1,0,0
13,0.4061302681992337,0.521682,0.16666666666666666,1,0.3619143081204107,1,0.125,0.0,0,1,5
14,0.842911877394636,0.959077,0.5,2,0.9591193880961092,1,0.375,0.08571428571428574,0,1,8
15,0.7471264367816092,0.943946,0.9999999999999999,2,0.13674748547203291,1,0.25,0.6285714285714286,0,0,4
16,0.793103448275862,0.897617,0.6666666666666666,2,0.7434541851295955,1,0.375,0.05714285714285716,0,1,8
17,0.30268199233716475,0.504768,0.16666666666666666,2,0.46366424790841443,1,0.125,0.0,0,1,8
18,0.8620689655172413,1.0,0.6666666666666666,1,0.7911977145276339,1,0.375,0.05714285714285716,0,1,7
19,0.4061302681992337,0.440299,0.16666666666666666,1,0.3913911012919953,1,0.125,0.08571428571428574,0,1,8
20,0.3908045977011494,0.448019,0.16666666666666666,1,0.402963680290551,1,0.125,0.08571428571428574,0,1,8
21,0.29885057471264365,0.7184519938425691,0.16666666666666666,1,0.34424656666613884,1,0.125,0.05714285714285716,1,1,1
22,0.3908045977011494,0.531487,0.16666666666666666,1,0.3645936377796316,1,0.125,0.3142857142857143,1,0,5
23,0.31800766283524895,0.566959,0.6666666666666666,1,0.2639979348743715,1,0.375,0.08571428571428574,0,1,8
24,0.30268199233716475,0.499776,0.16666666666666666,1,0.3076485069508395,1,0.125,0.08571428571428574,1,1,1
26,0.9961685823754789,0.78484,0.8333333333333334,1,0.040070041760873795,1,0.25,0.8571428571428572,0,0,1
27,0.31034482758620685,0.463049,0.16666666666666666,1,0.3768641759040342,1,0.125,0.05714285714285716,0,1,5
29,0.7049808429118773,0.936729,0.5,1,0.8954884338797278,1,0.5,0.02857142857142858,0,1,1
30,0.7509578544061302,0.877779,0.6666666666666666,1,0.9007200021334631,1,0.375,0.17142857142857137,1,1,1
31,0.3831417624521072,0.505405,0.16666666666666666,1,0.428956928213133,1,0.125,0.5999999999999999,0,0,0
32,0.7011494252873562,0.911595,0.5,2,0.7972459991316139,1,0.375,0.05714285714285716,0,1,1
33,0.32567049808429116,0.442766,0.16666666666666666,2,0.35331586838199325,1,0.125,0.0,0,1,5
34,0.7662835249042145,0.847301,0.5,1,0.9052640285617376,1,0.5,0.02857142857142858,0,1,5
35,0.7969348659003831,0.889916,0.6666666666666666,1,0.8515003412707608,1,0.375,0.02857142857142858,0,1,8
36,0.4406130268199233,0.681106,0.33333333333333337,1,0.7556997217330722,1,0.125,0.02857142857142858,0,1,8
37,0.4214559386973179,0.552437,0.16666666666666666,1,0.4450141550277642,1,0.125,0.08571428571428574,0,1,6
38,0.4022988505747126,0.7184519938425691,0.16666666666666666,2,0.4167895213625496,1,0.125,0.02857142857142858,0,1,9
40,0.7279693486590038,0.927427,0.6666666666666666,2,0.7747123366671473,1,0.375,0.05714285714285716,0,1,0
41,0.7969348659003831,0.990937,0.6666666666666666,1,0.7410123699191702,1,0.5,0.05714285714285716,0,1,8
